__wsafdisset	https://learn.microsoft.com/en-us/windows/win32/api/winsock2/nf-winsock2-__wsafdisset	The __WSAFDIsSet function (winsock2.h) specifies whether a socket is included in a set of socket descriptors.
_cancelpendingnavigationasync	https://learn.microsoft.com/en-us/windows/win32/api/shdeprecated/nf-shdeprecated-ibrowserservice2-_cancelpendingnavigationasync	Deprecated. Enables a derived class to request that the base class cancel any pending navigation.
_cancelpendingview	https://learn.microsoft.com/en-us/windows/win32/api/shdeprecated/nf-shdeprecated-ibrowserservice2-_cancelpendingview	Deprecated. Enables a derived class to request that the base class cancel any pending views.
_closeandreleasetoolbars	https://learn.microsoft.com/en-us/windows/win32/api/shdeprecated/nf-shdeprecated-ibrowserservice2-_closeandreleasetoolbars	Deprecated. Requests the closing of the browser toolbars hosted by the derived class.
_disablemodeless	https://learn.microsoft.com/en-us/windows/win32/api/shdeprecated/nf-shdeprecated-ibrowserservice2-_disablemodeless	Deprecated. Enables a derived class to ask the base class whether a modal UI is visible. A modal UI blocks minimize and close behavior in the browser window.
_execchildren	https://learn.microsoft.com/en-us/windows/win32/api/shdeprecated/nf-shdeprecated-ibrowserservice2-_execchildren	Deprecated. Enables the derived class to issue a command through the IOleCommandTarget::Exec method directly, instead of relying on the base class.
_findtbar	https://learn.microsoft.com/en-us/windows/win32/api/shdeprecated/nf-shdeprecated-ibrowserservice2-_findtbar	Deprecated. Returns the index of a browser toolbar item based on Component Object Model (COM) identity rules.
_get_itblastfocus	https://learn.microsoft.com/en-us/windows/win32/api/shdeprecated/nf-shdeprecated-ibrowserservice2-_get_itblastfocus	Deprecated. Gets the ID of the last toolbar or view that had focus.
_getborderdwhelper	https://learn.microsoft.com/en-us/windows/win32/api/shdeprecated/nf-shdeprecated-ibrowserservice2-_getborderdwhelper	Deprecated. A helper method for the implementation of GetBorderDW.
_geteffectiveclientarea	https://learn.microsoft.com/en-us/windows/win32/api/shdeprecated/nf-shdeprecated-ibrowserservice2-_geteffectiveclientarea	Deprecated. Used with IBrowserService2::_GetViewBorderRect to negotiate the dimensions of the browser view.
_gettoolbarcount	https://learn.microsoft.com/en-us/windows/win32/api/shdeprecated/nf-shdeprecated-ibrowserservice2-_gettoolbarcount	Deprecated. Returns the number of toolbars in the browser window.
_gettoolbaritem	https://learn.microsoft.com/en-us/windows/win32/api/shdeprecated/nf-shdeprecated-ibrowserservice2-_gettoolbaritem	Deprecated. Gets a specific item from a toolbar.
_getviewborderrect	https://learn.microsoft.com/en-us/windows/win32/api/shdeprecated/nf-shdeprecated-ibrowserservice2-_getviewborderrect	Deprecated. Used with IBrowserService2::_GetEffectiveClientArea to negotiate the size and position of the browser view.
_initialize	https://learn.microsoft.com/en-us/windows/win32/api/shdeprecated/nf-shdeprecated-ibrowserservice2-_initialize	Deprecated. Coordinates the initializing of state between the base and the derived classes.
_inlineinterlockedadd	https://learn.microsoft.com/en-us/windows/win32/api/winnt/nf-winnt-_inlineinterlockedadd	Performs an atomic addition operation on the specified LONG values. The operation is performed with acquire memory ordering semantics.
_inlineinterlockedadd64	https://learn.microsoft.com/en-us/windows/win32/api/winnt/nf-winnt-_inlineinterlockedadd64	Performs an atomic addition operation on the specified LONG64 values.
_interlockedbittestandreset	https://learn.microsoft.com/en-us/windows/win32/api/winnt/nf-winnt-_interlockedbittestandreset	Tests the specified bit of the specified LONG value and sets it to 0. The operation is atomic.
_interlockedbittestandreset64	https://learn.microsoft.com/en-us/windows/win32/api/winnt/nf-winnt-_interlockedbittestandreset64	Tests the specified bit of the specified LONG64 value and sets it to 0. The operation is atomic.
_interlockedbittestandset	https://learn.microsoft.com/en-us/windows/win32/api/winnt/nf-winnt-_interlockedbittestandset	Tests the specified bit of the specified LONG value and sets it to 1. The operation is atomic.
_interlockedbittestandset64	https://learn.microsoft.com/en-us/windows/win32/api/winnt/nf-winnt-_interlockedbittestandset64	Tests the specified bit of the specified LONG64 value and sets it to 1. The operation is atomic.
_lclose	https://learn.microsoft.com/en-us/windows/win32/api/winbase/nf-winbase-_lclose	The _lclose function closes the specified file so that it is no longer available for reading or writing. This function is provided for compatibility with 16-bit versions of Windows. Win32-based applications should use the CloseHandle function.
_lcreat	https://learn.microsoft.com/en-us/windows/win32/api/winbase/nf-winbase-_lcreat	Creates or opens the specified file.
_llseek	https://learn.microsoft.com/en-us/windows/win32/api/winbase/nf-winbase-_llseek	Repositions the file pointer for the specified file.
_loadtoolbars	https://learn.microsoft.com/en-us/windows/win32/api/shdeprecated/nf-shdeprecated-ibrowserservice2-_loadtoolbars	Deprecated. Loads the saved state of the browser's toolbars.
_lopen	https://learn.microsoft.com/en-us/windows/win32/api/winbase/nf-winbase-_lopen	The _lopen function opens an existing file and sets the file pointer to the beginning of the file. This function is provided for compatibility with 16-bit versions of Windows. Win32-based applications should use the CreateFile function.
_lread	https://learn.microsoft.com/en-us/windows/win32/api/winbase/nf-winbase-_lread	The _lread function reads data from the specified file. This function is provided for compatibility with 16-bit versions of Windows. Win32-based applications should use the ReadFile function.
_lwrite	https://learn.microsoft.com/en-us/windows/win32/api/winbase/nf-winbase-_lwrite	Writes data to the specified file.
_maysavechanges	https://learn.microsoft.com/en-us/windows/win32/api/shdeprecated/nf-shdeprecated-ibrowserservice2-_maysavechanges	Deprecated. Enables the base class to check whether the browser view needs to save changes before closing.
_navigatetopidl	https://learn.microsoft.com/en-us/windows/win32/api/shdeprecated/nf-shdeprecated-ibrowserservice2-_navigatetopidl	Deprecated. Navigates the base class to a new location synchronously.
_newenum	https://learn.microsoft.com/en-us/windows/win32/api/tom/nf-tom-itextstoryranges-_newenum	Retrieves an IEnumVARIANT enumerator interface for this collection of stories.
_onfocuschange	https://learn.microsoft.com/en-us/windows/win32/api/shdeprecated/nf-shdeprecated-ibrowserservice2-_onfocuschange	Deprecated. Coordinates focus between the base and the derived class when the focus shifts between the derived class's browser toolbars and its view.
_pauseorresumeview	https://learn.microsoft.com/en-us/windows/win32/api/shdeprecated/nf-shdeprecated-ibrowserservice2-_pauseorresumeview	Deprecated. Enables a derived class to request the base class to either pause (such as before a minimize operation) or resume the browser view.
_positionviewwindow	https://learn.microsoft.com/en-us/windows/win32/api/shdeprecated/nf-shdeprecated-ibrowserservice3-_positionviewwindow	Deprecated. Used in view size negotiations. This method is called by _UpdateViewRectSize after determining the available dimensions.
_put_itblastfocus	https://learn.microsoft.com/en-us/windows/win32/api/shdeprecated/nf-shdeprecated-ibrowserservice2-_put_itblastfocus	Deprecated. Sets the last toolbar or the last view with focus.
_resizeallborders	https://learn.microsoft.com/en-us/windows/win32/api/shdeprecated/nf-shdeprecated-ibrowserservice4-_resizeallborders	Deprecated. (IBrowserService4._ResizeAllBorders)
_resizenextborder	https://learn.microsoft.com/en-us/windows/win32/api/shdeprecated/nf-shdeprecated-ibrowserservice2-_resizenextborder	Deprecated. Resizes the border of the browser view in response to the addition or removal of toolbars.
_resizenextborderhelper	https://learn.microsoft.com/en-us/windows/win32/api/shdeprecated/nf-shdeprecated-ibrowserservice2-_resizenextborderhelper	Deprecated. A helper method used by the implementation of IBrowserService2::_ResizeNextBorder.
_resizeview	https://learn.microsoft.com/en-us/windows/win32/api/shdeprecated/nf-shdeprecated-ibrowserservice2-_resizeview	Deprecated. Calls IBrowserService2::_UpdateViewRectSize, then updates the browser view by using IOleInPlaceActiveObject::ResizeBorder.
_savetoolbars	https://learn.microsoft.com/en-us/windows/win32/api/shdeprecated/nf-shdeprecated-ibrowserservice2-_savetoolbars	Deprecated. Saves the state of browser toolbars.
_sendchildren	https://learn.microsoft.com/en-us/windows/win32/api/shdeprecated/nf-shdeprecated-ibrowserservice2-_sendchildren	Deprecated. Allows the derived class to send a message through the SendMessage function directly instead of relying on the base class.
_setfocus	https://learn.microsoft.com/en-us/windows/win32/api/shdeprecated/nf-shdeprecated-ibrowserservice2-_setfocus	Deprecated. Sets the focus on a toolbar or on the browser's view window. Called when translating accelerators through TranslateAcceleratorSB or when IBrowserService2::v_MayGetNextToolbarFocus fails.
_switchactivationnow	https://learn.microsoft.com/en-us/windows/win32/api/shdeprecated/nf-shdeprecated-ibrowserservice2-_switchactivationnow	Deprecated. Coordinates state updates while switching between current and pending browser views.
_trackmouseevent	https://learn.microsoft.com/en-us/windows/win32/api/commctrl/nf-commctrl-_trackmouseevent	Posts messages when the mouse pointer leaves a window or hovers over a window for a specified amount of time. This function calls TrackMouseEvent if it exists, otherwise it emulates it.
_tryshell2rename	https://learn.microsoft.com/en-us/windows/win32/api/shdeprecated/nf-shdeprecated-ibrowserservice2-_tryshell2rename	Deprecated. Coordinates the renaming of the current browser view when the browser is redirected.
_uiactivateview	https://learn.microsoft.com/en-us/windows/win32/api/shdeprecated/nf-shdeprecated-ibrowserservice2-_uiactivateview	Deprecated. Allows a derived class to request that the base class update the browser view.
_updateviewrectsize	https://learn.microsoft.com/en-us/windows/win32/api/shdeprecated/nf-shdeprecated-ibrowserservice2-_updateviewrectsize	Deprecated. Called to inform other functions involved in the browser view size negotiations that the allowable browser view dimensions have changed.
abort	https://learn.microsoft.com/en-us/windows/win32/api/comsvcs/nf-comsvcs-itransactioncontext-abort	Aborts the work of all COM objects participating in the current transaction. The transaction ends on return from this method. (ITransactionContext.Abort)
abortdoc	https://learn.microsoft.com/en-us/windows/win32/api/wingdi/nf-wingdi-abortdoc	The AbortDoc function stops the current print job and erases everything drawn since the last call to the StartDoc function.
abortlist	https://learn.microsoft.com/en-us/windows/win32/api/shobjidl_core/nf-shobjidl_core-icustomdestinationlist-abortlist	Discontinues a Jump List building session initiated by ICustomDestinationList::BeginList without committing any changes.
abortpath	https://learn.microsoft.com/en-us/windows/win32/api/wingdi/nf-wingdi-abortpath	The AbortPath function closes and discards any paths in the specified device context.
abortrecord	https://learn.microsoft.com/en-us/windows/win32/api/comsvcs/nf-comsvcs-icrmcompensator-abortrecord	Delivers a log record to the CRM Compensator during the abort phase. (ICrmCompensator.AbortRecord)
abortrecordvariants	https://learn.microsoft.com/en-us/windows/win32/api/comsvcs/nf-comsvcs-icrmcompensatorvariants-abortrecordvariants	Delivers a log record to the CRM Compensator during the abort phase. (ICrmCompensatorVariants.AbortRecordVariants)
abortsystemshutdowna	https://learn.microsoft.com/en-us/windows/win32/api/winreg/nf-winreg-abortsystemshutdowna	Stops a system shutdown that has been initiated. (ANSI)
abortsystemshutdownw	https://learn.microsoft.com/en-us/windows/win32/api/winreg/nf-winreg-abortsystemshutdownw	Stops a system shutdown that has been initiated. (Unicode)
accdodefaultaction	https://learn.microsoft.com/en-us/windows/win32/api/oleacc/nf-oleacc-iaccessible-accdodefaultaction	The IAccessible::accDoDefaultAction method performs the specified object's default action. Not all objects have a default action.
accept	https://learn.microsoft.com/en-us/windows/win32/api/winsock2/nf-winsock2-accept	The accept function permits an incoming connection attempt on a socket.
acceptex	https://learn.microsoft.com/en-us/windows/win32/api/mswsock/nf-mswsock-acceptex	The AcceptEx function (mswsock.h) accepts a new connection, returns the local and remote address, and receives the first block of data sent by the client application.
acceptfilepkcs7	https://learn.microsoft.com/en-us/windows/win32/api/xenroll/nf-xenroll-icenroll-acceptfilepkcs7	Accepts and processes a file that contains a PKCS
acceptfilepkcs7wstr	https://learn.microsoft.com/en-us/windows/win32/api/xenroll/nf-xenroll-ienroll-acceptfilepkcs7wstr	Accepts and processes a PKCS (IEnroll.acceptFilePKCS7WStr)
acceptfileresponse	https://learn.microsoft.com/en-us/windows/win32/api/xenroll/nf-xenroll-icenroll4-acceptfileresponse	Accepts delivery of the credentials issued in response to an earlier call to createFileRequest, and it places the credentials in the appropriate store.
acceptfileresponsewstr	https://learn.microsoft.com/en-us/windows/win32/api/xenroll/nf-xenroll-ienroll4-acceptfileresponsewstr	Accepts delivery of the credentials issued in response to an earlier call to createFileRequestWStr, and it places the credentials in the appropriate store.
acceptinput	https://learn.microsoft.com/en-us/windows/win32/api/audioenginebaseapo/nf-audioenginebaseapo-iapoauxiliaryinputrt-acceptinput	Provides input to the APO on one of its auxiliary inputs.
acceptpkcs7	https://learn.microsoft.com/en-us/windows/win32/api/xenroll/nf-xenroll-icenroll-acceptpkcs7	Accepts and processes a PKCS (ICEnroll.acceptPKCS7)
acceptpkcs7blob	https://learn.microsoft.com/en-us/windows/win32/api/xenroll/nf-xenroll-ienroll-acceptpkcs7blob	Accepts and processes a PKCS (IEnroll.acceptPKCS7Blob)
acceptresponse	https://learn.microsoft.com/en-us/windows/win32/api/xenroll/nf-xenroll-icenroll4-acceptresponse	Accepts delivery of the credentials issued in response to an earlier call to createRequest and places the credentials in the appropriate store.
acceptresponseblob	https://learn.microsoft.com/en-us/windows/win32/api/xenroll/nf-xenroll-ienroll4-acceptresponseblob	Accepts delivery of the credentials issued in response to an earlier call to createRequestWStr and places the credentials in the appropriate store.
acceptsecuritycontext	https://learn.microsoft.com/en-us/windows/win32/api/sspi/nf-sspi-acceptsecuritycontext	Lets the server component of a transport application establish a security context between the server and a remote client.
accesscheck	https://learn.microsoft.com/en-us/windows/win32/api/securitybaseapi/nf-securitybaseapi-accesscheck	Determines whether a security descriptor grants a specified set of access rights to the client identified by an access token. (AccessCheck)
accesscheck2	https://learn.microsoft.com/en-us/windows/win32/api/azroles/nf-azroles-iazclientcontext3-accesscheck2	Returns a value that specifies whether the principal represented by the current client context is allowed to perform the specified operation.
accesscheckandauditalarma	https://learn.microsoft.com/en-us/windows/win32/api/winbase/nf-winbase-accesscheckandauditalarma	Determines whether a security descriptor grants a specified set of access rights to the client being impersonated by the calling thread. (AccessCheckAndAuditAlarmA)
accesscheckandauditalarmw	https://learn.microsoft.com/en-us/windows/win32/api/securitybaseapi/nf-securitybaseapi-accesscheckandauditalarmw	Determines whether a security descriptor grants a specified set of access rights to the client being impersonated by the calling thread.
accesscheckbytype	https://learn.microsoft.com/en-us/windows/win32/api/securitybaseapi/nf-securitybaseapi-accesscheckbytype	Determines whether a security descriptor grants a specified set of access rights to the client identified by an access token. (AccessCheckByType)
accesscheckbytypeandauditalarma	https://learn.microsoft.com/en-us/windows/win32/api/winbase/nf-winbase-accesscheckbytypeandauditalarma	Determines whether a security descriptor grants a specified set of access rights to the client being impersonated by the calling thread. (AccessCheckByTypeAndAuditAlarmA)
accesscheckbytypeandauditalarmw	https://learn.microsoft.com/en-us/windows/win32/api/securitybaseapi/nf-securitybaseapi-accesscheckbytypeandauditalarmw	Determines whether a security descriptor grants a specified set of access rights to the client being impersonated by the calling thread. (AccessCheckByTypeAndAuditAlarmW)
accesscheckbytyperesultlist	https://learn.microsoft.com/en-us/windows/win32/api/securitybaseapi/nf-securitybaseapi-accesscheckbytyperesultlist	Determines whether a security descriptor grants a specified set of access rights to the client identified by an access token. (AccessCheckByTypeResultList)
accesscheckbytyperesultlistandauditalarma	https://learn.microsoft.com/en-us/windows/win32/api/winbase/nf-winbase-accesscheckbytyperesultlistandauditalarma	Determines whether a security descriptor grants a specified set of access rights to the client being impersonated by the calling thread. (AccessCheckByTypeResultListAndAuditAlarmA)
accesscheckbytyperesultlistandauditalarmbyhandlea	https://learn.microsoft.com/en-us/windows/win32/api/winbase/nf-winbase-accesscheckbytyperesultlistandauditalarmbyhandlea	The AccessCheckByTypeResultListAndAuditAlarmByHandleA (ANSI) function (winbase.h) determines whether a security descriptor grants a specified set of access rights to the client that the calling thread is impersonating.
accesscheckbytyperesultlistandauditalarmbyhandlew	https://learn.microsoft.com/en-us/windows/win32/api/securitybaseapi/nf-securitybaseapi-accesscheckbytyperesultlistandauditalarmbyhandlew	The AccessCheckByTypeResultListAndAuditAlarmByHandleW (Unicode) function (securitybaseapi.h) determines whether a security descriptor grants access rights to the client that the calling thread is impersonating.
accesscheckbytyperesultlistandauditalarmw	https://learn.microsoft.com/en-us/windows/win32/api/securitybaseapi/nf-securitybaseapi-accesscheckbytyperesultlistandauditalarmw	Determines whether a security descriptor grants a specified set of access rights to the client being impersonated by the calling thread. (AccessCheckByTypeResultListAndAuditAlarmW)
accessiblechildren	https://learn.microsoft.com/en-us/windows/win32/api/oleacc/nf-oleacc-accessiblechildren	Retrieves the child ID or IDispatch of each child within an accessible container object.
accessibleobjectfromevent	https://learn.microsoft.com/en-us/windows/win32/api/oleacc/nf-oleacc-accessibleobjectfromevent	Retrieves the address of the IAccessible interface for the object that generated the event that is currently being processed by the client's event hook function.
accessibleobjectfromid	https://learn.microsoft.com/en-us/windows/win32/api/oleacc/nf-oleacc-iaccessiblehandler-accessibleobjectfromid	The AccessibleObjectFromID method retrieves an IAccessibleinterface pointer for the interface associated with the given object ID. Oleacc.dll uses this method to obtain an IAccessible interface pointer for proxies that are supplied by other code.
accessibleobjectfrompoint	https://learn.microsoft.com/en-us/windows/win32/api/oleacc/nf-oleacc-accessibleobjectfrompoint	Retrieves the address of the IAccessible interface pointer for the object displayed at a specified point on the screen.
accessibleobjectfromwindow	https://learn.microsoft.com/en-us/windows/win32/api/oleacc/nf-oleacc-accessibleobjectfromwindow	Retrieves the address of the specified interface for the object associated with the specified window.
accessntmslibrarydoor	https://learn.microsoft.com/en-us/windows/win32/api/ntmsapi/nf-ntmsapi-accessntmslibrarydoor	The AccessNtmsLibraryDoor function unlocks the door of the specified library. If the library is busy, RSM queues the request and returns successfully.
acchittest	https://learn.microsoft.com/en-us/windows/win32/api/oleacc/nf-oleacc-iaccessible-acchittest	The IAccessible::accHitTest method retrieves the child element or child object that is displayed at a specific point on the screen.
acclocation	https://learn.microsoft.com/en-us/windows/win32/api/oleacc/nf-oleacc-iaccessible-acclocation	The IAccessible::accLocation method retrieves the specified object's current screen location. All visual objects must support this method. Sound objects do not support this method.
accnavigate	https://learn.microsoft.com/en-us/windows/win32/api/oleacc/nf-oleacc-iaccessible-accnavigate	The IAccessible::accNavigate method traverses to another UI element within a container and retrieves the object. This method is optional.
accnotifytouchinteraction	https://learn.microsoft.com/en-us/windows/win32/api/oleacc/nf-oleacc-accnotifytouchinteraction	Allows an assistive technology (AT) application to notify the system that it is interacting with UI through a Windows Automation API (such as Microsoft UI Automation) as a result of a touch gesture from the user.
accselect	https://learn.microsoft.com/en-us/windows/win32/api/oleacc/nf-oleacc-iaccessible-accselect	The IAccessible::accSelect method modifies the selection or moves the keyboard focus of the specified object. All objects that support selection or receive the keyboard focus must support this method.
accsetrunningutilitystate	https://learn.microsoft.com/en-us/windows/win32/api/oleacc/nf-oleacc-accsetrunningutilitystate	Sets system values that indicate whether an assistive technology (AT) application's current state affects functionality that is typically provided by the system.
acmdriveradd	https://learn.microsoft.com/en-us/windows/win32/api/msacm/nf-msacm-acmdriveradd	The acmDriverAdd function (msacm.h) adds a driver to the list of available ACM drivers. (acmDriverAddW)
acmdriveradda	https://learn.microsoft.com/en-us/windows/win32/api/msacm/nf-msacm-acmdriveradda	The acmDriverAdd function adds a driver to the list of available ACM drivers. (acmDriverAddA)
acmdriveraddw	https://learn.microsoft.com/en-us/windows/win32/api/msacm/nf-msacm-acmdriveraddw	The acmDriverAddW (Unicode) function (msacm.h) adds a driver to the list of available ACM drivers. (acmDriverAddW)
acmdriverclose	https://learn.microsoft.com/en-us/windows/win32/api/msacm/nf-msacm-acmdriverclose	The acmDriverClose function closes a previously opened ACM driver instance. If the function is successful, the handle is invalidated.
acmdriverdetails	https://learn.microsoft.com/en-us/windows/win32/api/msacm/nf-msacm-acmdriverdetails	The acmDriverDetails function (msacm.h) queries a specified ACM driver to determine its capabilities. (acmDriverDetailsW)
acmdriverdetailsa	https://learn.microsoft.com/en-us/windows/win32/api/msacm/nf-msacm-acmdriverdetailsa	The acmDriverDetails function queries a specified ACM driver to determine its capabilities. (acmDriverDetailsA)
acmdriverdetailsw	https://learn.microsoft.com/en-us/windows/win32/api/msacm/nf-msacm-acmdriverdetailsw	The acmDriverDetails (Unicode) function queries a specified ACM driver to determine its capabilities. (acmDriverDetailsW)
acmdriverenum	https://learn.microsoft.com/en-us/windows/win32/api/msacm/nf-msacm-acmdriverenum	The acmDriverEnum function enumerates the available ACM drivers, continuing until there are no more drivers or the callback function returns FALSE.
acmdriverid	https://learn.microsoft.com/en-us/windows/win32/api/msacm/nf-msacm-acmdriverid	The acmDriverID function returns the handle of an ACM driver identifier associated with an open ACM driver instance or stream handle.
acmdrivermessage	https://learn.microsoft.com/en-us/windows/win32/api/msacm/nf-msacm-acmdrivermessage	The acmDriverMessage function sends a user-defined message to a given ACM driver instance.
acmdriveropen	https://learn.microsoft.com/en-us/windows/win32/api/msacm/nf-msacm-acmdriveropen	The acmDriverOpen function opens the specified ACM driver and returns a driver instance handle that can be used to communicate with the driver.
acmdriverpriority	https://learn.microsoft.com/en-us/windows/win32/api/msacm/nf-msacm-acmdriverpriority	The acmDriverPriority function modifies the priority and state of an ACM driver.
acmdriverremove	https://learn.microsoft.com/en-us/windows/win32/api/msacm/nf-msacm-acmdriverremove	The acmDriverRemove function removes an ACM driver from the list of available ACM drivers. The driver will be removed for the calling application only. If the driver is globally installed, other applications will still be able to use it.
acmfilterchoose	https://learn.microsoft.com/en-us/windows/win32/api/msacm/nf-msacm-acmfilterchoose	The acmFilterChoose function creates an ACM-defined dialog box that enables the user to select a waveform-audio filter.
acmfilterchoosea	https://learn.microsoft.com/en-us/windows/win32/api/msacm/nf-msacm-acmfilterchoosea	The acmFilterChoose function creates an ACM-defined dialog box that enables the user to select a waveform-audio filter. (acmFilterChooseA)
acmfilterchoosew	https://learn.microsoft.com/en-us/windows/win32/api/msacm/nf-msacm-acmfilterchoosew	The acmFilterChoose (Unicode) function creates an ACM-defined dialog box that enables the user to select a waveform-audio filter. (acmFilterChooseW)
acmfilterdetails	https://learn.microsoft.com/en-us/windows/win32/api/msacm/nf-msacm-acmfilterdetails	The acmFilterDetails function queries the ACM for details about a filter with a specific waveform-audio filter tag.
acmfilterdetailsa	https://learn.microsoft.com/en-us/windows/win32/api/msacm/nf-msacm-acmfilterdetailsa	The acmFilterDetails function queries the ACM for details about a filter with a specific waveform-audio filter tag. (acmFilterDetailsA)
acmfilterdetailsw	https://learn.microsoft.com/en-us/windows/win32/api/msacm/nf-msacm-acmfilterdetailsw	The acmFilterDetails (Unicode) function queries the ACM for details about a filter with a specific waveform-audio filter tag. (acmFilterDetailsW)
acmfilterenum	https://learn.microsoft.com/en-us/windows/win32/api/msacm/nf-msacm-acmfilterenum	The acmFilterEnum function enumerates waveform-audio filters available for a given filter tag from an ACM driver. This function continues enumerating until there are no more suitable filters for the filter tag or the callback function returns FALSE.
acmfilterenuma	https://learn.microsoft.com/en-us/windows/win32/api/msacm/nf-msacm-acmfilterenuma	The acmFilterEnum function enumerates waveform-audio filters available for a given filter tag from an ACM driver. This function continues enumerating until there are no more suitable filters for the filter tag or the callback function returns FALSE. (acmFilterEnumA)
acmfilterenumw	https://learn.microsoft.com/en-us/windows/win32/api/msacm/nf-msacm-acmfilterenumw	The acmFilterEnum (Unicode) function enumerates waveform-audio filters available for a given filter tag from an ACM driver. This function continues enumerating until there are no more suitable filters for the filter tag or the callback function returns FALSE. (acmFilterEnumW)
acmfiltertagdetails	https://learn.microsoft.com/en-us/windows/win32/api/msacm/nf-msacm-acmfiltertagdetails	The acmFilterTagDetails function queries the ACM for details about a specific waveform-audio filter tag.
acmfiltertagdetailsa	https://learn.microsoft.com/en-us/windows/win32/api/msacm/nf-msacm-acmfiltertagdetailsa	The acmFilterTagDetails function queries the ACM for details about a specific waveform-audio filter tag. (acmFilterTagDetailsA)
acmfiltertagdetailsw	https://learn.microsoft.com/en-us/windows/win32/api/msacm/nf-msacm-acmfiltertagdetailsw	The acmFilterTagDetails (Unicode) function queries the ACM for details about a specific waveform-audio filter tag. (acmFilterTagDetailsW)
acmfiltertagenum	https://learn.microsoft.com/en-us/windows/win32/api/msacm/nf-msacm-acmfiltertagenum	The acmFilterTagEnum function enumerates waveform-audio filter tags available from an ACM driver. This function continues enumerating until there are no more suitable filter tags or the callback function returns FALSE.
acmfiltertagenuma	https://learn.microsoft.com/en-us/windows/win32/api/msacm/nf-msacm-acmfiltertagenuma	The acmFilterTagEnum function enumerates waveform-audio filter tags available from an ACM driver. This function continues enumerating until there are no more suitable filter tags or the callback function returns FALSE. (acmFilterTagEnumA)
acmfiltertagenumw	https://learn.microsoft.com/en-us/windows/win32/api/msacm/nf-msacm-acmfiltertagenumw	The acmFilterTagEnum (Unicode) function enumerates waveform-audio filter tags available from an ACM driver. This function continues enumerating until there are no more suitable filter tags or the callback function returns FALSE. (acmFilterTagEnumW)
acmformatchoose	https://learn.microsoft.com/en-us/windows/win32/api/msacm/nf-msacm-acmformatchoose	The acmFormatChoose function creates an ACM-defined dialog box that enables the user to select a waveform-audio format.
acmformatchoosea	https://learn.microsoft.com/en-us/windows/win32/api/msacm/nf-msacm-acmformatchoosea	The acmFormatChoose function creates an ACM-defined dialog box that enables the user to select a waveform-audio format. (acmFormatChooseA)
acmformatchoosew	https://learn.microsoft.com/en-us/windows/win32/api/msacm/nf-msacm-acmformatchoosew	The acmFormatChoose (Unicode) function creates an ACM-defined dialog box that enables the user to select a waveform-audio format. (acmFormatChooseW)
acmformatdetails	https://learn.microsoft.com/en-us/windows/win32/api/msacm/nf-msacm-acmformatdetails	The acmFormatDetails function queries the ACM for format details for a specific waveform-audio format tag.
acmformatdetailsa	https://learn.microsoft.com/en-us/windows/win32/api/msacm/nf-msacm-acmformatdetailsa	The acmFormatDetails function queries the ACM for format details for a specific waveform-audio format tag. (acmFormatDetailsA)
acmformatdetailsw	https://learn.microsoft.com/en-us/windows/win32/api/msacm/nf-msacm-acmformatdetailsw	The acmFormatDetails (Unicode) function queries the ACM for format details for a specific waveform-audio format tag. (acmFormatDetailsW)
acmformatenum	https://learn.microsoft.com/en-us/windows/win32/api/msacm/nf-msacm-acmformatenum	The acmFormatEnum function enumerates waveform-audio formats available for a given format tag from an ACM driver. This function continues enumerating until there are no more suitable formats for the format tag or the callback function returns FALSE.
acmformatenuma	https://learn.microsoft.com/en-us/windows/win32/api/msacm/nf-msacm-acmformatenuma	The acmFormatEnum function enumerates waveform-audio formats available for a given format tag from an ACM driver. This function continues enumerating until there are no more suitable formats for the format tag or the callback function returns FALSE. (acmFormatEnumA)
acmformatenumw	https://learn.microsoft.com/en-us/windows/win32/api/msacm/nf-msacm-acmformatenumw	The acmFormatEnum (Unicode) function enumerates waveform-audio formats available for a given format tag from an ACM driver. This function continues enumerating until there are no more suitable formats for the format tag or the callback function returns FALSE. (acmFormatEnumW)
acmformatsuggest	https://learn.microsoft.com/en-us/windows/win32/api/msacm/nf-msacm-acmformatsuggest	The acmFormatSuggest function queries the ACM or a specified ACM driver to suggest a destination format for the supplied source format.
acmformattagdetails	https://learn.microsoft.com/en-us/windows/win32/api/msacm/nf-msacm-acmformattagdetails	The acmFormatTagDetails function queries the ACM for details on a specific waveform-audio format tag.
acmformattagdetailsa	https://learn.microsoft.com/en-us/windows/win32/api/msacm/nf-msacm-acmformattagdetailsa	The acmFormatTagDetails function queries the ACM for details on a specific waveform-audio format tag. (acmFormatTagDetailsA)
acmformattagdetailsw	https://learn.microsoft.com/en-us/windows/win32/api/msacm/nf-msacm-acmformattagdetailsw	The acmFormatTagDetails (Unicode) function queries the ACM for details on a specific waveform-audio format tag. (acmFormatTagDetailsW)
acmformattagenum	https://learn.microsoft.com/en-us/windows/win32/api/msacm/nf-msacm-acmformattagenum	The acmFormatTagEnum function enumerates waveform-audio format tags available from an ACM driver. This function continues enumerating until there are no more suitable format tags or the callback function returns FALSE.
