name,dll,signature,description
GetPhysicalMonitorsFromHMONITOR,dxva2.dll,"Int32 GetPhysicalMonitorsFromHMONITOR(HMONITOR hMonitor, UInt32 dwPhysicalMonitorArraySize, PHYSICAL_MONITOR* pPhysicalMonitorArray)",待补充
GetPhysicalMonitorsFromIDirect3DDevice9,dxva2.dll,"HRESULT GetPhysicalMonitorsFromIDirect3DDevice9(IDirect3DDevice9 pDirect3DDevice9, UInt32 dwPhysicalMonitorArraySize, PHYSICAL_MONITOR* pPhysicalMonitorArray)",待补充
DestroyPhysicalMonitor,dxva2.dll,Int32 DestroyPhysicalMonitor(HANDLE hMonitor),待补充
DestroyPhysicalMonitors,dxva2.dll,"Int32 DestroyPhysicalMonitors(UInt32 dwPhysicalMonitorArraySize, PHYSICAL_MONITOR* pPhysicalMonitorArray)",待补充
GetVCPFeatureAndVCPFeatureReply,dxva2.dll,"Int32 GetVCPFeatureAndVCPFeatureReply(HANDLE hMonitor, Byte bVCPCode, MC_VCP_CODE_TYPE* pvct, UInt32* pdwCurrentValue, UInt32* pdwMaximumValue)",待补充
SetVCPFeature,dxva2.dll,"Int32 SetVCPFeature(HANDLE hMonitor, Byte bVCPCode, UInt32 dwNewValue)",待补充
SaveCurrentSettings,dxva2.dll,Int32 SaveCurrentSettings(HANDLE hMonitor),待补充
GetCapabilitiesStringLength,dxva2.dll,"Int32 GetCapabilitiesStringLength(HANDLE hMonitor, UInt32* pdwCapabilitiesStringLengthInCharacters)",待补充
CapabilitiesRequestAndCapabilitiesReply,dxva2.dll,"Int32 CapabilitiesRequestAndCapabilitiesReply(HANDLE hMonitor, Byte* pszASCIICapabilitiesString, UInt32 dwCapabilitiesStringLengthInCharacters)",待补充
GetTimingReport,dxva2.dll,"Int32 GetTimingReport(HANDLE hMonitor, MC_TIMING_REPORT* pmtrMonitorTimingReport)",待补充
GetMonitorCapabilities,dxva2.dll,"Int32 GetMonitorCapabilities(HANDLE hMonitor, UInt32* pdwMonitorCapabilities, UInt32* pdwSupportedColorTemperatures)",待补充
SaveCurrentMonitorSettings,dxva2.dll,Int32 SaveCurrentMonitorSettings(HANDLE hMonitor),待补充
GetMonitorTechnologyType,dxva2.dll,"Int32 GetMonitorTechnologyType(HANDLE hMonitor, MC_DISPLAY_TECHNOLOGY_TYPE* pdtyDisplayTechnologyType)",待补充
GetMonitorBrightness,dxva2.dll,"Int32 GetMonitorBrightness(HANDLE hMonitor, UInt32* pdwMinimumBrightness, UInt32* pdwCurrentBrightness, UInt32* pdwMaximumBrightness)",待补充
GetMonitorContrast,dxva2.dll,"Int32 GetMonitorContrast(HANDLE hMonitor, UInt32* pdwMinimumContrast, UInt32* pdwCurrentContrast, UInt32* pdwMaximumContrast)",待补充
GetMonitorColorTemperature,dxva2.dll,"Int32 GetMonitorColorTemperature(HANDLE hMonitor, MC_COLOR_TEMPERATURE* pctCurrentColorTemperature)",待补充
GetMonitorRedGreenOrBlueDrive,dxva2.dll,"Int32 GetMonitorRedGreenOrBlueDrive(HANDLE hMonitor, MC_DRIVE_TYPE dtDriveType, UInt32* pdwMinimumDrive, UInt32* pdwCurrentDrive, UInt32* pdwMaximumDrive)",待补充
GetMonitorRedGreenOrBlueGain,dxva2.dll,"Int32 GetMonitorRedGreenOrBlueGain(HANDLE hMonitor, MC_GAIN_TYPE gtGainType, UInt32* pdwMinimumGain, UInt32* pdwCurrentGain, UInt32* pdwMaximumGain)",待补充
SetMonitorBrightness,dxva2.dll,"Int32 SetMonitorBrightness(HANDLE hMonitor, UInt32 dwNewBrightness)",待补充
SetMonitorContrast,dxva2.dll,"Int32 SetMonitorContrast(HANDLE hMonitor, UInt32 dwNewContrast)",待补充
SetMonitorColorTemperature,dxva2.dll,"Int32 SetMonitorColorTemperature(HANDLE hMonitor, MC_COLOR_TEMPERATURE ctCurrentColorTemperature)",待补充
SetMonitorRedGreenOrBlueDrive,dxva2.dll,"Int32 SetMonitorRedGreenOrBlueDrive(HANDLE hMonitor, MC_DRIVE_TYPE dtDriveType, UInt32 dwNewDrive)",待补充
SetMonitorRedGreenOrBlueGain,dxva2.dll,"Int32 SetMonitorRedGreenOrBlueGain(HANDLE hMonitor, MC_GAIN_TYPE gtGainType, UInt32 dwNewGain)",待补充
DegaussMonitor,dxva2.dll,Int32 DegaussMonitor(HANDLE hMonitor),待补充
GetMonitorDisplayAreaSize,dxva2.dll,"Int32 GetMonitorDisplayAreaSize(HANDLE hMonitor, MC_SIZE_TYPE stSizeType, UInt32* pdwMinimumWidthOrHeight, UInt32* pdwCurrentWidthOrHeight, UInt32* pdwMaximumWidthOrHeight)",待补充
GetMonitorDisplayAreaPosition,dxva2.dll,"Int32 GetMonitorDisplayAreaPosition(HANDLE hMonitor, MC_POSITION_TYPE ptPositionType, UInt32* pdwMinimumPosition, UInt32* pdwCurrentPosition, UInt32* pdwMaximumPosition)",待补充
SetMonitorDisplayAreaSize,dxva2.dll,"Int32 SetMonitorDisplayAreaSize(HANDLE hMonitor, MC_SIZE_TYPE stSizeType, UInt32 dwNewDisplayAreaWidthOrHeight)",待补充
SetMonitorDisplayAreaPosition,dxva2.dll,"Int32 SetMonitorDisplayAreaPosition(HANDLE hMonitor, MC_POSITION_TYPE ptPositionType, UInt32 dwNewPosition)",待补充
RestoreMonitorFactoryColorDefaults,dxva2.dll,Int32 RestoreMonitorFactoryColorDefaults(HANDLE hMonitor),待补充
RestoreMonitorFactoryDefaults,dxva2.dll,Int32 RestoreMonitorFactoryDefaults(HANDLE hMonitor),待补充
BRUSHOBJ_pvAllocRbrush,GDI32.dll,"void BRUSHOBJ_pvAllocRbrush(BRUSHOBJ* pbo, UInt32 cj)",待补充
BRUSHOBJ_pvGetRbrush,GDI32.dll,void BRUSHOBJ_pvGetRbrush(BRUSHOBJ* pbo),待补充
BRUSHOBJ_ulGetBrushColor,GDI32.dll,UInt32 BRUSHOBJ_ulGetBrushColor(BRUSHOBJ* pbo),待补充
BRUSHOBJ_hGetColorTransform,GDI32.dll,HANDLE BRUSHOBJ_hGetColorTransform(BRUSHOBJ* pbo),待补充
CLIPOBJ_cEnumStart,GDI32.dll,"UInt32 CLIPOBJ_cEnumStart(CLIPOBJ* pco, BOOL bAll, UInt32 iType, UInt32 iDirection, UInt32 cLimit)",待补充
CLIPOBJ_bEnum,GDI32.dll,"BOOL CLIPOBJ_bEnum(CLIPOBJ* pco, UInt32 cj, UInt32* pul)",待补充
CLIPOBJ_ppoGetPath,GDI32.dll,void CLIPOBJ_ppoGetPath(CLIPOBJ* pco),待补充
FONTOBJ_cGetAllGlyphHandles,GDI32.dll,"UInt32 FONTOBJ_cGetAllGlyphHandles(FONTOBJ* pfo, UInt32* phg)",待补充
FONTOBJ_vGetInfo,GDI32.dll,"Void FONTOBJ_vGetInfo(FONTOBJ* pfo, UInt32 cjSize, FONTINFO* pfi)",待补充
FONTOBJ_cGetGlyphs,GDI32.dll,"UInt32 FONTOBJ_cGetGlyphs(FONTOBJ* pfo, UInt32 iMode, UInt32 cGlyph, UInt32* phg, void* ppvGlyph)",待补充
FONTOBJ_pxoGetXform,GDI32.dll,void FONTOBJ_pxoGetXform(FONTOBJ* pfo),待补充
FONTOBJ_pifi,GDI32.dll,void FONTOBJ_pifi(FONTOBJ* pfo),待补充
FONTOBJ_pfdg,GDI32.dll,void FONTOBJ_pfdg(FONTOBJ* pfo),待补充
FONTOBJ_pvTrueTypeFontFile,GDI32.dll,"void FONTOBJ_pvTrueTypeFontFile(FONTOBJ* pfo, UInt32* pcjFile)",待补充
FONTOBJ_pQueryGlyphAttrs,GDI32.dll,"void FONTOBJ_pQueryGlyphAttrs(FONTOBJ* pfo, UInt32 iMode)",待补充
PATHOBJ_vEnumStart,GDI32.dll,Void PATHOBJ_vEnumStart(PATHOBJ* ppo),待补充
PATHOBJ_bEnum,GDI32.dll,"BOOL PATHOBJ_bEnum(PATHOBJ* ppo, PATHDATA* ppd)",待补充
PATHOBJ_vEnumStartClipLines,GDI32.dll,"Void PATHOBJ_vEnumStartClipLines(PATHOBJ* ppo, CLIPOBJ* pco, SURFOBJ* pso, LINEATTRS* pla)",待补充
PATHOBJ_bEnumClipLines,GDI32.dll,"BOOL PATHOBJ_bEnumClipLines(PATHOBJ* ppo, UInt32 cb, CLIPLINE* pcl)",待补充
PATHOBJ_vGetBounds,GDI32.dll,"Void PATHOBJ_vGetBounds(PATHOBJ* ppo, RECTFX* prectfx)",待补充
STROBJ_vEnumStart,GDI32.dll,Void STROBJ_vEnumStart(STROBJ* pstro),待补充
STROBJ_bEnum,GDI32.dll,"BOOL STROBJ_bEnum(STROBJ* pstro, UInt32* pc, void* ppgpos)",待补充
STROBJ_bEnumPositionsOnly,GDI32.dll,"BOOL STROBJ_bEnumPositionsOnly(STROBJ* pstro, UInt32* pc, void* ppgpos)",待补充
STROBJ_dwGetCodePage,GDI32.dll,UInt32 STROBJ_dwGetCodePage(STROBJ* pstro),待补充
STROBJ_bGetAdvanceWidths,GDI32.dll,"BOOL STROBJ_bGetAdvanceWidths(STROBJ* pso, UInt32 iFirst, UInt32 c, POINTQF* pptqD)",待补充
XFORMOBJ_iGetXform,GDI32.dll,"UInt32 XFORMOBJ_iGetXform(XFORMOBJ* pxo, XFORML* pxform)",待补充
XFORMOBJ_bApplyXform,GDI32.dll,"BOOL XFORMOBJ_bApplyXform(XFORMOBJ* pxo, UInt32 iMode, UInt32 cPoints, Void* pvIn, Void* pvOut)",待补充
XLATEOBJ_iXlate,GDI32.dll,"UInt32 XLATEOBJ_iXlate(XLATEOBJ* pxlo, UInt32 iColor)",待补充
XLATEOBJ_piVector,GDI32.dll,void XLATEOBJ_piVector(XLATEOBJ* pxlo),待补充
XLATEOBJ_cGetPalette,GDI32.dll,"UInt32 XLATEOBJ_cGetPalette(XLATEOBJ* pxlo, UInt32 iPal, UInt32 cPal, UInt32* pPal)",待补充
XLATEOBJ_hGetColorTransform,GDI32.dll,HANDLE XLATEOBJ_hGetColorTransform(XLATEOBJ* pxlo),待补充
EngCreateBitmap,GDI32.dll,"HBITMAP EngCreateBitmap(SIZE sizl, Int32 lWidth, UInt32 iFormat, UInt32 fl, Void* pvBits)",待补充
EngCreateDeviceSurface,GDI32.dll,"HSURF EngCreateDeviceSurface(DHSURF dhsurf, SIZE sizl, UInt32 iFormatCompat)",待补充
EngCreateDeviceBitmap,GDI32.dll,"HBITMAP EngCreateDeviceBitmap(DHSURF dhsurf, SIZE sizl, UInt32 iFormatCompat)",待补充
EngDeleteSurface,GDI32.dll,BOOL EngDeleteSurface(HSURF hsurf),待补充
EngLockSurface,GDI32.dll,void EngLockSurface(HSURF hsurf),待补充
EngUnlockSurface,GDI32.dll,Void EngUnlockSurface(SURFOBJ* pso),待补充
EngEraseSurface,GDI32.dll,"BOOL EngEraseSurface(SURFOBJ* pso, RECTL* prcl, UInt32 iColor)",待补充
EngAssociateSurface,GDI32.dll,"BOOL EngAssociateSurface(HSURF hsurf, HDEV hdev, UInt32 flHooks)",待补充
EngMarkBandingSurface,GDI32.dll,BOOL EngMarkBandingSurface(HSURF hsurf),待补充
EngCheckAbort,GDI32.dll,BOOL EngCheckAbort(SURFOBJ* pso),待补充
EngDeletePath,GDI32.dll,Void EngDeletePath(PATHOBJ* ppo),待补充
EngCreatePalette,GDI32.dll,"HPALETTE EngCreatePalette(UInt32 iMode, UInt32 cColors, UInt32* pulColors, UInt32 flRed, UInt32 flGreen, UInt32 flBlue)",待补充
EngDeletePalette,GDI32.dll,BOOL EngDeletePalette(HPALETTE hpal),待补充
EngCreateClip,GDI32.dll,void EngCreateClip(),待补充
EngDeleteClip,GDI32.dll,Void EngDeleteClip(CLIPOBJ* pco),待补充
EngBitBlt,GDI32.dll,"BOOL EngBitBlt(SURFOBJ* psoTrg, SURFOBJ* psoSrc, SURFOBJ* psoMask, CLIPOBJ* pco, XLATEOBJ* pxlo, RECTL* prclTrg, POINTL* pptlSrc, POINTL* pptlMask, BRUSHOBJ* pbo, POINTL* pptlBrush, UInt32 rop4)",待补充
EngLineTo,GDI32.dll,"BOOL EngLineTo(SURFOBJ* pso, CLIPOBJ* pco, BRUSHOBJ* pbo, Int32 x1, Int32 y1, Int32 x2, Int32 y2, RECTL* prclBounds, UInt32 mix)",待补充
EngStretchBlt,GDI32.dll,"BOOL EngStretchBlt(SURFOBJ* psoDest, SURFOBJ* psoSrc, SURFOBJ* psoMask, CLIPOBJ* pco, XLATEOBJ* pxlo, COLORADJUSTMENT* pca, POINTL* pptlHTOrg, RECTL* prclDest, RECTL* prclSrc, POINTL* pptlMask, UInt32 iMode)",待补充
EngStretchBltROP,GDI32.dll,"BOOL EngStretchBltROP(SURFOBJ* psoDest, SURFOBJ* psoSrc, SURFOBJ* psoMask, CLIPOBJ* pco, XLATEOBJ* pxlo, COLORADJUSTMENT* pca, POINTL* pptlHTOrg, RECTL* prclDest, RECTL* prclSrc, POINTL* pptlMask, UInt32 iMode, BRUSHOBJ* pbo, UInt32 rop4)",待补充
EngAlphaBlend,GDI32.dll,"BOOL EngAlphaBlend(SURFOBJ* psoDest, SURFOBJ* psoSrc, CLIPOBJ* pco, XLATEOBJ* pxlo, RECTL* prclDest, RECTL* prclSrc, BLENDOBJ* pBlendObj)",待补充
EngGradientFill,GDI32.dll,"BOOL EngGradientFill(SURFOBJ* psoDest, CLIPOBJ* pco, XLATEOBJ* pxlo, TRIVERTEX* pVertex, UInt32 nVertex, Void* pMesh, UInt32 nMesh, RECTL* prclExtents, POINTL* pptlDitherOrg, UInt32 ulMode)",待补充
EngTransparentBlt,GDI32.dll,"BOOL EngTransparentBlt(SURFOBJ* psoDst, SURFOBJ* psoSrc, CLIPOBJ* pco, XLATEOBJ* pxlo, RECTL* prclDst, RECTL* prclSrc, UInt32 TransColor, UInt32 bCalledFromBitBlt)",待补充
EngTextOut,GDI32.dll,"BOOL EngTextOut(SURFOBJ* pso, STROBJ* pstro, FONTOBJ* pfo, CLIPOBJ* pco, RECTL* prclExtra, RECTL* prclOpaque, BRUSHOBJ* pboFore, BRUSHOBJ* pboOpaque, POINTL* pptlOrg, UInt32 mix)",待补充
EngStrokePath,GDI32.dll,"BOOL EngStrokePath(SURFOBJ* pso, PATHOBJ* ppo, CLIPOBJ* pco, XFORMOBJ* pxo, BRUSHOBJ* pbo, POINTL* pptlBrushOrg, LINEATTRS* plineattrs, UInt32 mix)",待补充
EngFillPath,GDI32.dll,"BOOL EngFillPath(SURFOBJ* pso, PATHOBJ* ppo, CLIPOBJ* pco, BRUSHOBJ* pbo, POINTL* pptlBrushOrg, UInt32 mix, UInt32 flOptions)",待补充
EngStrokeAndFillPath,GDI32.dll,"BOOL EngStrokeAndFillPath(SURFOBJ* pso, PATHOBJ* ppo, CLIPOBJ* pco, XFORMOBJ* pxo, BRUSHOBJ* pboStroke, LINEATTRS* plineattrs, BRUSHOBJ* pboFill, POINTL* pptlBrushOrg, UInt32 mixFill, UInt32 flOptions)",待补充
EngPaint,GDI32.dll,"BOOL EngPaint(SURFOBJ* pso, CLIPOBJ* pco, BRUSHOBJ* pbo, POINTL* pptlBrushOrg, UInt32 mix)",待补充
EngCopyBits,GDI32.dll,"BOOL EngCopyBits(SURFOBJ* psoDest, SURFOBJ* psoSrc, CLIPOBJ* pco, XLATEOBJ* pxlo, RECTL* prclDest, POINTL* pptlSrc)",待补充
EngPlgBlt,GDI32.dll,"BOOL EngPlgBlt(SURFOBJ* psoTrg, SURFOBJ* psoSrc, SURFOBJ* psoMsk, CLIPOBJ* pco, XLATEOBJ* pxlo, COLORADJUSTMENT* pca, POINTL* pptlBrushOrg, POINTFIX* pptfx, RECTL* prcl, POINTL* pptl, UInt32 iMode)",待补充
HT_Get8BPPFormatPalette,GDI32.dll,"Int32 HT_Get8BPPFormatPalette(PALETTEENTRY* pPaletteEntry, UInt16 RedGamma, UInt16 GreenGamma, UInt16 BlueGamma)",待补充
HT_Get8BPPMaskPalette,GDI32.dll,"Int32 HT_Get8BPPMaskPalette(PALETTEENTRY* pPaletteEntry, BOOL Use8BPPMaskPal, Byte CMYMask, UInt16 RedGamma, UInt16 GreenGamma, UInt16 BlueGamma)",待补充
EngGetPrinterDataFileName,GDI32.dll,PWSTR EngGetPrinterDataFileName(HDEV hdev),待补充
EngGetDriverName,GDI32.dll,PWSTR EngGetDriverName(HDEV hdev),待补充
EngLoadModule,GDI32.dll,HANDLE EngLoadModule(PWSTR pwsz),待补充
EngFindResource,GDI32.dll,"void EngFindResource(HANDLE h, Int32 iName, Int32 iType, UInt32* pulSize)",待补充
EngFreeModule,GDI32.dll,Void EngFreeModule(HANDLE h),待补充
EngCreateSemaphore,GDI32.dll,HSEMAPHORE EngCreateSemaphore(),待补充
EngAcquireSemaphore,GDI32.dll,Void EngAcquireSemaphore(HSEMAPHORE hsem),待补充
EngReleaseSemaphore,GDI32.dll,Void EngReleaseSemaphore(HSEMAPHORE hsem),待补充
EngDeleteSemaphore,GDI32.dll,Void EngDeleteSemaphore(HSEMAPHORE hsem),待补充
EngMultiByteToUnicodeN,GDI32.dll,"Void EngMultiByteToUnicodeN(PWSTR UnicodeString, UInt32 MaxBytesInUnicodeString, UInt32* BytesInUnicodeString, PSTR MultiByteString, UInt32 BytesInMultiByteString)",待补充
EngUnicodeToMultiByteN,GDI32.dll,"Void EngUnicodeToMultiByteN(PSTR MultiByteString, UInt32 MaxBytesInMultiByteString, UInt32* BytesInMultiByteString, PWSTR UnicodeString, UInt32 BytesInUnicodeString)",待补充
EngQueryLocalTime,GDI32.dll,Void EngQueryLocalTime(ENG_TIME_FIELDS* param0),待补充
EngComputeGlyphSet,GDI32.dll,"void EngComputeGlyphSet(Int32 nCodePage, Int32 nFirstChar, Int32 cChars)",待补充
EngMultiByteToWideChar,GDI32.dll,"Int32 EngMultiByteToWideChar(UInt32 CodePage, PWSTR WideCharString, Int32 BytesInWideCharString, PSTR MultiByteString, Int32 BytesInMultiByteString)",待补充
EngWideCharToMultiByte,GDI32.dll,"Int32 EngWideCharToMultiByte(UInt32 CodePage, PWSTR WideCharString, Int32 BytesInWideCharString, PSTR MultiByteString, Int32 BytesInMultiByteString)",待补充
EngGetCurrentCodePage,GDI32.dll,"Void EngGetCurrentCodePage(UInt16* OemCodePage, UInt16* AnsiCodePage)",待补充
EngQueryEMFInfo,GDI32.dll,"BOOL EngQueryEMFInfo(HDEV hdev, EMFINFO* pEMFInfo)",待补充
GetDisplayConfigBufferSizes,USER32.dll,"Int32 GetDisplayConfigBufferSizes(UInt32 flags, UInt32* numPathArrayElements, UInt32* numModeInfoArrayElements)",待补充
SetDisplayConfig,USER32.dll,"Int32 SetDisplayConfig(UInt32 numPathArrayElements, DISPLAYCONFIG_PATH_INFO* pathArray, UInt32 numModeInfoArrayElements, DISPLAYCONFIG_MODE_INFO* modeInfoArray, UInt32 flags)",待补充
QueryDisplayConfig,USER32.dll,"Int32 QueryDisplayConfig(UInt32 flags, UInt32* numPathArrayElements, DISPLAYCONFIG_PATH_INFO* pathArray, UInt32* numModeInfoArrayElements, DISPLAYCONFIG_MODE_INFO* modeInfoArray, DISPLAYCONFIG_TOPOLOGY_ID* currentTopologyId)",待补充
DisplayConfigGetDeviceInfo,USER32.dll,Int32 DisplayConfigGetDeviceInfo(DISPLAYCONFIG_DEVICE_INFO_HEADER* requestPacket),待补充
DisplayConfigSetDeviceInfo,USER32.dll,Int32 DisplayConfigSetDeviceInfo(DISPLAYCONFIG_DEVICE_INFO_HEADER* setPacket),待补充
GetAutoRotationState,USER32.dll,BOOL GetAutoRotationState(AR_STATE* pState),待补充
GetDisplayAutoRotationPreferences,USER32.dll,BOOL GetDisplayAutoRotationPreferences(ORIENTATION_PREFERENCE* pOrientation),待补充
SetDisplayAutoRotationPreferences,USER32.dll,BOOL SetDisplayAutoRotationPreferences(ORIENTATION_PREFERENCE orientation),待补充
SwDeviceCreate,CFGMGR32.dll,"HRESULT SwDeviceCreate(PWSTR pszEnumeratorName, PWSTR pszParentDeviceInstance, SW_DEVICE_CREATE_INFO* pCreateInfo, UInt32 cPropertyCount, DEVPROPERTY* pProperties, SW_DEVICE_CREATE_CALLBACK pCallback, Void* pContext, IntPtr* phSwDevice)",待补充
SwDeviceClose,CFGMGR32.dll,Void SwDeviceClose(HSWDEVICE hSwDevice),待补充
SwDeviceSetLifetime,CFGMGR32.dll,"HRESULT SwDeviceSetLifetime(HSWDEVICE hSwDevice, SW_DEVICE_LIFETIME Lifetime)",待补充
SwDeviceGetLifetime,CFGMGR32.dll,"HRESULT SwDeviceGetLifetime(HSWDEVICE hSwDevice, SW_DEVICE_LIFETIME* pLifetime)",待补充
SwDevicePropertySet,CFGMGR32.dll,"HRESULT SwDevicePropertySet(HSWDEVICE hSwDevice, UInt32 cPropertyCount, DEVPROPERTY* pProperties)",待补充
SwDeviceInterfaceRegister,CFGMGR32.dll,"HRESULT SwDeviceInterfaceRegister(HSWDEVICE hSwDevice, Guid* pInterfaceClassGuid, PWSTR pszReferenceString, UInt32 cPropertyCount, DEVPROPERTY* pProperties, BOOL fEnabled, PWSTR* ppszDeviceInterfaceId)",待补充
SwMemFree,CFGMGR32.dll,Void SwMemFree(Void* pMem),待补充
SwDeviceInterfaceSetState,CFGMGR32.dll,"HRESULT SwDeviceInterfaceSetState(HSWDEVICE hSwDevice, PWSTR pszDeviceInterfaceId, BOOL fEnabled)",待补充
SwDeviceInterfacePropertySet,CFGMGR32.dll,"HRESULT SwDeviceInterfacePropertySet(HSWDEVICE hSwDevice, PWSTR pszDeviceInterfaceId, UInt32 cPropertyCount, DEVPROPERTY* pProperties)",待补充
FaxConnectFaxServerA,WINFAX.dll,"BOOL FaxConnectFaxServerA(PSTR MachineName, HANDLE* FaxHandle)",待补充
FaxConnectFaxServerW,WINFAX.dll,"BOOL FaxConnectFaxServerW(PWSTR MachineName, HANDLE* FaxHandle)",待补充
FaxClose,WINFAX.dll,BOOL FaxClose(HANDLE FaxHandle),待补充
FaxOpenPort,WINFAX.dll,"BOOL FaxOpenPort(HANDLE FaxHandle, UInt32 DeviceId, UInt32 Flags, HANDLE* FaxPortHandle)",待补充
FaxCompleteJobParamsA,WINFAX.dll,"BOOL FaxCompleteJobParamsA(void* JobParams, void* CoverpageInfo)",待补充
FaxCompleteJobParamsW,WINFAX.dll,"BOOL FaxCompleteJobParamsW(void* JobParams, void* CoverpageInfo)",待补充
FaxSendDocumentA,WINFAX.dll,"BOOL FaxSendDocumentA(HANDLE FaxHandle, PSTR FileName, FAX_JOB_PARAMA* JobParams, FAX_COVERPAGE_INFOA* CoverpageInfo, UInt32* FaxJobId)",待补充
FaxSendDocumentW,WINFAX.dll,"BOOL FaxSendDocumentW(HANDLE FaxHandle, PWSTR FileName, FAX_JOB_PARAMW* JobParams, FAX_COVERPAGE_INFOW* CoverpageInfo, UInt32* FaxJobId)",待补充
FaxSendDocumentForBroadcastA,WINFAX.dll,"BOOL FaxSendDocumentForBroadcastA(HANDLE FaxHandle, PSTR FileName, UInt32* FaxJobId, PFAX_RECIPIENT_CALLBACKA FaxRecipientCallback, Void* Context)",待补充
FaxSendDocumentForBroadcastW,WINFAX.dll,"BOOL FaxSendDocumentForBroadcastW(HANDLE FaxHandle, PWSTR FileName, UInt32* FaxJobId, PFAX_RECIPIENT_CALLBACKW FaxRecipientCallback, Void* Context)",待补充
FaxEnumJobsA,WINFAX.dll,"BOOL FaxEnumJobsA(HANDLE FaxHandle, void* JobEntry, UInt32* JobsReturned)",待补充
FaxEnumJobsW,WINFAX.dll,"BOOL FaxEnumJobsW(HANDLE FaxHandle, void* JobEntry, UInt32* JobsReturned)",待补充
FaxGetJobA,WINFAX.dll,"BOOL FaxGetJobA(HANDLE FaxHandle, UInt32 JobId, void* JobEntry)",待补充
FaxGetJobW,WINFAX.dll,"BOOL FaxGetJobW(HANDLE FaxHandle, UInt32 JobId, void* JobEntry)",待补充
FaxSetJobA,WINFAX.dll,"BOOL FaxSetJobA(HANDLE FaxHandle, UInt32 JobId, UInt32 Command, FAX_JOB_ENTRYA* JobEntry)",待补充
FaxSetJobW,WINFAX.dll,"BOOL FaxSetJobW(HANDLE FaxHandle, UInt32 JobId, UInt32 Command, FAX_JOB_ENTRYW* JobEntry)",待补充
FaxGetPageData,WINFAX.dll,"BOOL FaxGetPageData(HANDLE FaxHandle, UInt32 JobId, void* Buffer, UInt32* BufferSize, UInt32* ImageWidth, UInt32* ImageHeight)",待补充
FaxGetDeviceStatusA,WINFAX.dll,"BOOL FaxGetDeviceStatusA(HANDLE FaxPortHandle, void* DeviceStatus)",待补充
FaxGetDeviceStatusW,WINFAX.dll,"BOOL FaxGetDeviceStatusW(HANDLE FaxPortHandle, void* DeviceStatus)",待补充
FaxAbort,WINFAX.dll,"BOOL FaxAbort(HANDLE FaxHandle, UInt32 JobId)",待补充
FaxGetConfigurationA,WINFAX.dll,"BOOL FaxGetConfigurationA(HANDLE FaxHandle, void* FaxConfig)",待补充
FaxGetConfigurationW,WINFAX.dll,"BOOL FaxGetConfigurationW(HANDLE FaxHandle, void* FaxConfig)",待补充
FaxSetConfigurationA,WINFAX.dll,"BOOL FaxSetConfigurationA(HANDLE FaxHandle, FAX_CONFIGURATIONA* FaxConfig)",待补充
FaxSetConfigurationW,WINFAX.dll,"BOOL FaxSetConfigurationW(HANDLE FaxHandle, FAX_CONFIGURATIONW* FaxConfig)",待补充
FaxGetLoggingCategoriesA,WINFAX.dll,"BOOL FaxGetLoggingCategoriesA(HANDLE FaxHandle, void* Categories, UInt32* NumberCategories)",待补充
FaxGetLoggingCategoriesW,WINFAX.dll,"BOOL FaxGetLoggingCategoriesW(HANDLE FaxHandle, void* Categories, UInt32* NumberCategories)",待补充
FaxSetLoggingCategoriesA,WINFAX.dll,"BOOL FaxSetLoggingCategoriesA(HANDLE FaxHandle, FAX_LOG_CATEGORYA* Categories, UInt32 NumberCategories)",待补充
FaxSetLoggingCategoriesW,WINFAX.dll,"BOOL FaxSetLoggingCategoriesW(HANDLE FaxHandle, FAX_LOG_CATEGORYW* Categories, UInt32 NumberCategories)",待补充
FaxEnumPortsA,WINFAX.dll,"BOOL FaxEnumPortsA(HANDLE FaxHandle, void* PortInfo, UInt32* PortsReturned)",待补充
FaxEnumPortsW,WINFAX.dll,"BOOL FaxEnumPortsW(HANDLE FaxHandle, void* PortInfo, UInt32* PortsReturned)",待补充
FaxGetPortA,WINFAX.dll,"BOOL FaxGetPortA(HANDLE FaxPortHandle, void* PortInfo)",待补充
FaxGetPortW,WINFAX.dll,"BOOL FaxGetPortW(HANDLE FaxPortHandle, void* PortInfo)",待补充
FaxSetPortA,WINFAX.dll,"BOOL FaxSetPortA(HANDLE FaxPortHandle, FAX_PORT_INFOA* PortInfo)",待补充
FaxSetPortW,WINFAX.dll,"BOOL FaxSetPortW(HANDLE FaxPortHandle, FAX_PORT_INFOW* PortInfo)",待补充
FaxEnumRoutingMethodsA,WINFAX.dll,"BOOL FaxEnumRoutingMethodsA(HANDLE FaxPortHandle, void* RoutingMethod, UInt32* MethodsReturned)",待补充
FaxEnumRoutingMethodsW,WINFAX.dll,"BOOL FaxEnumRoutingMethodsW(HANDLE FaxPortHandle, void* RoutingMethod, UInt32* MethodsReturned)",待补充
FaxEnableRoutingMethodA,WINFAX.dll,"BOOL FaxEnableRoutingMethodA(HANDLE FaxPortHandle, PSTR RoutingGuid, BOOL Enabled)",待补充
FaxEnableRoutingMethodW,WINFAX.dll,"BOOL FaxEnableRoutingMethodW(HANDLE FaxPortHandle, PWSTR RoutingGuid, BOOL Enabled)",待补充
FaxEnumGlobalRoutingInfoA,WINFAX.dll,"BOOL FaxEnumGlobalRoutingInfoA(HANDLE FaxHandle, void* RoutingInfo, UInt32* MethodsReturned)",待补充
